Latitude: 43.688000
Longitude: 5.756000
Elevation: 287.000000
Month, Chosen year
1,2007
2,2007
3,2011
4,2008
5,2007
6,2012
7,2007
8,2014
9,2014
10,2008
11,2009
12,2014
Date&Time (UTC),Dry bulb temperature (deg. C),Relative Humidity (%), Global horizontal irradiance (W/m2) ,Direct (beam) normal Irradiance (W/m2),Diffuse horizontal irradiance (W/m2), Infrared radiation downwards (W/m2),  Windspeed (m/s), Wind direction (deg.),  Air pressure (Pa)
01/01/2007 00:00:00,4.24,81.93,0.00,-0.00,0.00,306.55,2.02,54,100088
01/01/2007 01:00:00,4.62,83.03,0.00,-0.00,0.00,310.44,1.88,51,100043
01/01/2007 02:00:00,5.01,84.13,0.00,-0.00,0.00,314.33,1.74,49,99997
01/01/2007 03:00:00,5.40,85.23,0.00,-0.00,0.00,318.22,1.59,51,99933
01/01/2007 04:00:00,5.78,86.32,0.00,-0.00,0.00,322.11,1.45,54,99869
01/01/2007 05:00:00,6.17,87.42,0.00,-0.00,0.00,326.01,1.30,57,99804
01/01/2007 06:00:00,6.56,88.52,0.00,-0.00,0.00,329.90,1.16,60,99782
01/01/2007 07:00:00,6.94,89.61,0.00,-0.00,0.00,333.79,1.02,63,99759
01/01/2007 08:00:00,7.94,90.91,39.00,0.00,39.00,334.00,1.24,66,99736
01/01/2007 09:00:00,9.44,89.84,40.00,0.00,40.00,334.45,2.08,72,99666
01/01/2007 10:00:00,10.94,88.76,169.00,43.47,154.00,334.90,2.91,77,99595
01/01/2007 11:00:00,12.43,87.69,149.00,7.69,146.00,335.35,3.75,82,99524
01/01/2007 12:00:00,12.69,85.84,212.00,69.25,185.00,334.47,4.03,87,99456
01/01/2007 13:00:00,12.94,83.98,272.00,350.90,151.00,333.58,4.30,92,99389
01/01/2007 14:00:00,13.20,82.13,237.00,670.81,64.00,332.70,4.58,97,99321
01/01/2007 15:00:00,11.99,84.37,103.00,481.52,38.00,325.45,4.34,100,99311
01/01/2007 16:00:00,10.78,86.61,0.00,-0.00,0.00,318.20,4.09,103,99302
01/01/2007 17:00:00,9.57,88.85,0.00,-0.00,0.00,310.95,3.85,106,99292
01/01/2007 18:00:00,9.14,87.24,0.00,-0.00,0.00,308.03,4.42,108,99305
01/01/2007 19:00:00,8.71,85.64,0.00,-0.00,0.00,305.12,5.00,110,99318
01/01/2007 20:00:00,8.28,84.03,0.00,-0.00,0.00,302.20,5.57,112,99331
01/01/2007 21:00:00,8.04,84.71,0.00,-0.00,0.00,304.12,6.62,113,99305
01/01/2007 22:00:00,7.79,85.40,0.00,-0.00,0.00,306.03,7.66,114,99279
01/01/2007 23:00:00,7.54,86.08,0.00,-0.00,0.00,307.95,8.70,114,99253
02/01/2007 00:00:00,6.63,83.16,0.00,-0.00,0.00,305.22,8.97,119,99266
