Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-22.1689,-69.4219,-4,1163
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2010,1,1,0,0,0.0,0.0,0.0,16.7,16.7,81.2,884.9,2.9,2.3,0
2010,1,1,1,0,0.0,0.0,0.0,16.1,16.1,77.0,885.0,1.9,22.3,0
2010,1,1,2,0,0.0,0.0,0.0,15.0,15.0,75.6,885.1,1.4,31.8,0
2010,1,1,3,0,0.0,0.0,0.0,14.7,14.7,74.7,885.1,0.3,38.9,0
2010,1,1,4,0,0.0,0.0,0.0,13.6,13.6,76.6,885.1,1.1,43.2,0
2010,1,1,5,0,0.0,0.0,0.0,12.7,12.7,81.1,885.1,1.4,47.3,0
2010,1,1,6,0,0.0,0.0,0.0,11.5,11.5,79.3,885.1,1.0,213.1,0
2010,1,1,7,0,187.0,711.7,32.5,12.7,12.7,59.6,885.1,0.4,220.3,0
2010,1,1,8,0,433.5,900.9,42.0,17.1,17.1,42.9,884.8,1.4,232.9,0
2010,1,1,9,0,669.5,984.0,47.1,20.6,20.6,32.1,884.5,1.4,249.7,0
2010,1,1,10,0,870.6,1028.6,50.4,23.2,23.2,26.3,884.0,1.9,269.9,0
2010,1,1,11,0,1019.3,1053.2,52.5,25.3,25.3,26.0,883.3,2.9,290.1,0
2010,1,1,12,0,1103.9,1065.0,53.7,27.3,27.3,18.1,881.8,1.9,316.3,0
2010,1,1,13,0,1117.3,1066.5,53.9,29.2,29.2,16.5,881.1,2.1,317.8,0
2010,1,1,14,0,1058.8,1058.3,53.2,31.0,31.0,15.6,880.4,4.6,319.4,0
2010,1,1,15,0,932.9,1038.6,51.5,32.3,32.3,14.6,880.1,3.0,322.6,0
2010,1,1,16,0,749.5,1002.1,48.8,33.2,33.2,14.4,879.7,3.5,325.2,0
2010,1,1,17,0,524.1,936.2,44.5,33.5,33.5,15.1,879.5,4.1,327.2,0
2010,1,1,18,0,278.0,801.1,37.2,32.0,32.0,22.5,879.7,7.1,312.9,0
2010,1,1,19,0,49.5,391.0,18.9,28.3,28.3,25.5,880.5,6.1,339.4,0
2010,1,1,20,0,0.0,0.0,0.0,22.8,22.8,31.7,881.4,3.2,14.4,0
2010,1,1,21,0,0.0,0.0,0.0,23.2,23.2,39.2,881.8,1.8,20.8,0
2010,1,1,22,0,0.0,0.0,0.0,20.4,20.4,49.0,882.1,1.3,13.9,0
2010,1,1,23,0,0.0,0.0,0.0,19.5,19.5,60.5,882.2,1.5,358.6,0
2010,1,2,0,0,0.0,0.0,0.0,16.9,16.9,78.1,882.7,1.4,359.3,0
2010,1,2,1,0,0.0,0.0,0.0,15.5,15.5,74.2,882.6,1.5,10.2,0
2010,1,2,2,0,0.0,0.0,0.0,15.0,15.0,73.0,882.5,1.6,10.8,0
2010,1,2,3,0,0.0,0.0,0.0,13.3,13.3,72.8,882.8,1.5,7.7,0
2010,1,2,4,0,0.0,0.0,0.0,13.0,13.0,75.4,883.1,1.8,333.3,0
2010,1,2,5,0,0.0,0.0,0.0,14.4,14.4,80.6,883.3,0.7,262.1,0
2010,1,2,6,0,0.0,0.0,0.0,12.0,12.0,75.5,882.5,1.3,220.2,0
2010,1,2,7,0,182.9,699.7,32.5,13.9,13.9,54.5,882.5,0.8,223.1,0
2010,1,2,8,0,428.1,892.0,42.1,17.3,17.3,36.6,882.3,1.8,234.0,0
2010,1,2,9,0,663.3,976.6,47.2,21.7,21.7,24.4,881.9,2.7,250.3,0
2010,1,2,10,0,863.8,1021.7,50.4,24.6,24.6,17.3,881.3,2.9,270.6,0
2010,1,2,11,0,1012.3,1046.5,52.5,27.0,27.0,15.6,880.6,2.8,291.2,0
2010,1,2,12,0,1096.8,1058.4,53.5,29.1,29.1,16.3,880.3,2.4,305.4,0
2010,1,2,13,0,1110.6,1059.9,53.7,31.1,31.1,14.2,879.5,3.2,309.5,0
2010,1,2,14,0,1052.8,1051.7,53.0,32.4,32.4,12.8,878.8,2.3,313.3,0
2010,1,2,15,0,927.8,1031.7,51.3,33.4,33.4,11.6,878.3,3.2,319.2,0
2010,1,2,16,0,745.6,995.1,48.6,34.1,34.1,11.4,877.9,3.6,324.3,0
2010,1,2,17,0,521.5,929.1,44.3,33.3,33.3,11.9,877.5,5.9,328.5,0
2010,1,2,18,0,276.7,794.1,37.1,32.1,32.1,16.7,878.2,8.8,323.6,0
2010,1,2,19,0,49.6,385.7,19.0,28.4,28.4,19.9,879.1,3.8,345.2,0
2010,1,2,20,0,0.0,0.0,0.0,25.0,25.0,26.4,880.0,2.2,11.0,0
2010,1,2,21,0,0.0,0.0,0.0,23.4,23.4,34.0,880.7,1.7,20.2,0
2010,1,2,22,0,0.0,0.0,0.0,21.8,21.8,43.9,881.4,0.9,16.1,0
2010,1,2,23,0,0.0,0.0,0.0,18.9,18.9,55.5,881.9,2.0,1.1,0
2010,1,3,0,0,0.0,0.0,0.0,16.9,16.9,75.4,882.6,1.3,355.3,0
2010,1,3,1,0,0.0,0.0,0.0,15.4,15.4,69.7,882.8,0.7,5.9,0
2010,1,3,2,0,0.0,0.0,0.0,15.0,15.0,66.8,883.0,0.6,8.8,0
2010,1,3,3,0,0.0,0.0,0.0,14.3,14.3,64.7,883.2,2.3,11.4,0
2010,1,3,4,0,0.0,0.0,0.0,13.8,13.8,65.5,883.2,1.9,8.2,0
2010,1,3,5,0,0.0,0.0,0.0,14.1,14.1,68.9,883.2,0.7,354.8,0
2010,1,3,6,0,0.0,0.0,0.0,12.9,12.9,72.6,882.6,0.5,210.7,0
2010,1,3,7,0,178.1,685.8,32.3,14.1,14.1,53.6,882.7,0.5,214.8,0
